"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000116977",1351.58267618402,0.157512803259584,0.153561195948529,1.02573311106785,0.305017402533886,0.608387799469998,"LGALS8"
"ENSG00000116981",0,NA,NA,NA,NA,NA,"NT5C1A"
"ENSG00000116983",0.196284843779606,0.173365714697881,3.5338115409304,0.0490591285612917,0.960872174846211,NA,"HPCAL4"
"ENSG00000116984",1886.54630161453,0.0187423259904511,0.254609386352779,0.0736120779321242,0.941319060415121,0.98461616858031,"MTR"
"ENSG00000116985",13.9525388407024,0.414542381884645,0.524933443578782,0.789704651047691,0.429700274469748,0.720282415388535,"BMP8B"
"ENSG00000116990",3.85077276485147,-0.414499023920867,0.917582325998462,-0.451729520258394,0.651463848991027,NA,"MYCL"
"ENSG00000116991",131.94865613851,-3.05009885733583,0.579068528813016,-5.26725025721561,1.38482366022159e-07,4.90026970421868e-06,"SIPA1L2"
"ENSG00000116996",0,NA,NA,NA,NA,NA,"ZP4"
"ENSG00000117000",611.421050299256,0.116019110970999,0.142221053693126,0.815766076528562,0.414633938917381,0.708927101038679,"RLF"
"ENSG00000117009",9.42316826348531,-0.156970977140905,0.619052082389191,-0.253566673316219,0.799830346120548,NA,"KMO"
"ENSG00000117010",61.323209049642,0.0636651654975676,0.22376730040138,0.284515053733807,0.77601569930504,0.926581343895839,"ZNF684"
"ENSG00000117013",4.24233233388124,1.30675962664527,1.02468437618571,1.27528013212181,0.202210107352692,NA,"KCNQ4"
"ENSG00000117016",68.1400602314769,0.0221992949173979,0.560878507309606,0.0395795071982387,0.96842836552178,0.991807384083538,"RIMS3"
"ENSG00000117020",1244.92969859328,0.342575907223055,0.214091332866319,1.60013907446203,0.109567734320776,0.336115725397642,"AKT3"
"ENSG00000117036",535.792243986602,0.146033201045986,0.101445070532265,1.43952978966622,0.150000475986979,0.406396638429837,"ETV3"
"ENSG00000117054",459.656452738344,0.240003598172943,0.177159022334112,1.3547353954139,0.17550187643111,0.444849526117013,"ACADM"
"ENSG00000117069",14.0361331418736,-0.1534386371489,0.58891074415062,-0.260546506704006,0.79444224647216,0.933721960294908,"ST6GALNAC5"
"ENSG00000117090",0,NA,NA,NA,NA,NA,"SLAMF1"
"ENSG00000117091",0,NA,NA,NA,NA,NA,"CD48"
"ENSG00000117114",2109.24134186295,-0.246882922709614,0.292754548137144,-0.843310289389456,0.399054929718606,0.697724187322591,"ADGRL2"
"ENSG00000117115",4.90977104180593,-0.323027453039366,0.993506147359336,-0.325138856863593,0.745075981683097,NA,"PADI2"
"ENSG00000117118",767.421720784816,0.0367642837321972,0.15478742904336,0.237514660973524,0.812257546761539,0.942004789471132,"SDHB"
"ENSG00000117122",706.031356008506,-0.715866416039649,0.172230460235374,-4.15644488821159,3.23238099641765e-05,0.000602145266798835,"MFAP2"
"ENSG00000117133",365.613347397081,0.0959315555182469,0.141100465503846,0.679881212125642,0.4965796787419,0.767765166266684,"RPF1"
"ENSG00000117139",2014.14007880393,-0.126003414885263,0.139485003740577,-0.903347395821934,0.36634154936332,0.667738929486999,"KDM5B"
"ENSG00000117143",1603.24068885167,0.641094385204807,0.107590102995285,5.95867433301839,2.54292280144387e-09,1.32345587037345e-07,"UAP1"
"ENSG00000117148",5.83817701130983,-2.55748738798356,1.67628089534455,-1.52569142503881,NA,NA,"ACTL8"
"ENSG00000117151",674.140134479489,0.0599291312971589,0.22587421215399,0.265320820494117,0.790762326658179,0.932136942499853,"CTBS"
"ENSG00000117152",115.343580680223,-1.17643807650024,0.462003413062504,-2.54638395136939,0.0108845395633999,0.0688868999948564,"RGS4"
"ENSG00000117153",833.345955138427,-0.0421932542343096,0.0951491337311959,-0.443443388076543,0.657445058691947,0.870301137205205,"KLHL12"
"ENSG00000117154",0.186293186425353,0.894699722854172,3.5338115409304,0.253182636507722,0.800127083554548,NA,"IGSF21"
"ENSG00000117155",616.228657109363,-0.503492818993703,0.256222185392586,-1.96506332276515,0.0494069089865281,0.199272339973627,"SSX2IP"
"ENSG00000117174",706.517160866311,0.136258993248705,0.163763857813826,0.832045575059731,0.405383220149557,0.702312145509975,"ZNHIT6"
"ENSG00000117215",1.90316395921109,0.37447804923641,1.42473159873625,0.262841120087864,0.792673040246111,NA,"PLA2G2D"
"ENSG00000117222",504.358492670469,-0.251533704610478,0.106643343025776,-2.35864421982421,0.0183418311786435,0.100830139092761,"RBBP5"
"ENSG00000117226",485.973168927813,-0.503548696038109,0.874671318650808,-0.575700477768997,0.5648176523646,0.81499269674751,"GBP3"
"ENSG00000117228",1110.64275936854,0.199253700373526,0.219999130703147,0.905702216807332,0.365093488855491,0.666506857366973,"GBP1"
"ENSG00000117245",36.3740142016713,0.466840993266558,0.534113336923786,0.874048560470926,0.38209180893577,0.681358818595577,"KIF17"
"ENSG00000117262",369.355085881042,-0.0774005590171103,0.143635733231083,-0.538867016417058,0.58997861760055,0.830336911939862,"GPR89A"
"ENSG00000117266",82.0132927105121,-0.735340064999988,0.525818627300367,-1.39846712691663,0.161972837584296,0.42440806664605,"CDK18"
"ENSG00000117280",1185.46097593664,0.497389185551902,0.128954475702779,3.85709129397191,0.000114744314825631,0.00178053550003503,"RAB29"
"ENSG00000117281",21.5331877038997,0.112603098411677,0.46321315895336,0.243091320346137,0.807934654941489,0.9394372628859,"CD160"
"ENSG00000117298",7382.49194325334,0.231553042246923,0.108754796461241,2.12912947089598,0.0332435500963027,0.151592316512066,"ECE1"
"ENSG00000117305",664.183355665166,-0.0469189082188273,0.0934113685364841,-0.502282633837037,0.615468723245882,0.845237016100733,"HMGCL"
"ENSG00000117308",86.0794798750405,-0.0152182044903155,0.302923756216772,-0.050237738632243,0.959932938428706,0.990104479222653,"GALE"
"ENSG00000117318",58.0932578934118,0.129385032730984,0.316230513532154,0.409147843722639,0.682431167275665,0.883519858417737,"ID3"
"ENSG00000117322",6.68924557816258,-0.226818235476925,0.75822832447535,-0.299142393069885,0.764831401368346,NA,"CR2"
"ENSG00000117335",5104.15456671389,-0.000379276981587699,0.168243444192729,-0.00225433438674272,0.998201302921435,0.999164873421193,"CD46"
"ENSG00000117360",561.503823705587,0.00907766999147291,0.122632683515996,0.0740232516422818,0.940991883877969,0.984615315830582,"PRPF3"
"ENSG00000117362",2162.18683779233,0.121798950383283,0.138295977982143,0.880712166473921,0.378473629973188,0.677787442897858,"APH1A"
"ENSG00000117385",1441.49172770966,-0.30942700452408,0.142579777605888,-2.17020260320073,0.0299915009700834,0.14136983572733,"P3H1"
"ENSG00000117394",2577.2462539536,0.446448608750995,0.289611051332291,1.54154548556489,0.123184081575273,0.361181509664628,"SLC2A1"
"ENSG00000117395",576.369416854026,0.238298309439622,0.161426273208858,1.47620523414614,0.139888804849633,0.388534971098132,"EBNA1BP2"
"ENSG00000117399",32.7205184072645,-0.169414186198233,0.44809038409668,-0.378080387821223,0.705370877130708,0.894935237844062,"CDC20"
"ENSG00000117400",0.48817946679708,0.139005160627079,3.10301509500605,0.0447968045178999,0.964269272163033,NA,"MPL"
"ENSG00000117407",6.22858323400988,-0.0442762032140003,0.823765560822206,-0.0537485485188382,0.957135502551539,NA,"ARTN"
"ENSG00000117408",772.383989276641,0.191385482141106,0.142989534050019,1.33845797465259,0.180747191068421,0.452252536702406,"IPO13"
"ENSG00000117410",652.486518567938,0.402476648089973,0.158977257796392,2.53166178401088,0.0113523433242745,0.0712247029445214,"ATP6V0B"
"ENSG00000117411",1086.55116212194,-0.260608582108735,0.120948221083356,-2.15471198976235,0.031184378975048,0.145319206023723,"B4GALT2"
"ENSG00000117419",711.871711989735,0.184578522965547,0.0952695564435939,1.93743447388495,0.0526922559885109,0.207844681422682,"ERI3"
"ENSG00000117425",40.5684547427139,-0.286854738743721,0.391256144099575,-0.733163537671415,0.46345869131211,0.744730172936011,"PTCH2"
"ENSG00000117448",820.267791485797,-0.141724287684182,0.138960260100245,-1.01989077727649,0.307780264026205,0.610988082190382,"AKR1A1"
"ENSG00000117450",4022.59693099561,-0.00472144153441323,0.13427757875375,-0.0351618012346784,0.971950721582046,0.992239308962181,"PRDX1"
"ENSG00000117461",219.71542270997,-1.56107740731663,0.351027826360466,-4.44716142165203,8.70124520217522e-06,0.000191263220010078,"PIK3R3"
"ENSG00000117472",3.49913939768217,-0.96831531172745,1.06635103734068,-0.908064303235721,0.363844248950045,NA,"TSPAN1"
"ENSG00000117475",500.111574341149,0.165289369660462,0.176691705260166,0.935467623774901,0.349547360959357,0.653209226788974,"BLZF1"
"ENSG00000117477",7.52024053050269,-0.303455465339928,0.65646794251633,-0.462254811981743,0.643898600668649,NA,"CCDC181"
